year,pick,team,record,odds,pre_lottery_position,pick_change,player
1985,1,New York Knicks,24-58,0.1429,3,2,Patrick Ewing
1985,2,Indiana Pacers,22-60,0.1429,1,-1,Wayman Tisdale
1985,3,Los Angeles Clippers,31-51,0.1429,5,2,Benoit Benjamin
1985,4,Seattle SuperSonics,31-51,0.1429,6,2,Xavier McDaniel
1985,5,Atlanta Hawks,34-48,0.1429,7,2,Jon Koncak
1985,6,Sacramento Kings,31-51,0.1429,4,-2,Joe Kleine
1985,7,Golden State Warriors,22-60,0.1429,2,-5,Chris Mullin
1986,1,Philadelphia Sixers,54-28,0.1429,6,5,Brad Daugherty
1986,2,Boston Celtics,67-15,0.1429,5,3,Len Bias
1986,3,Golden State Warriors,30-52,0.1429,4,1,Chris Washburn
1986,4,Indiana Pacers,26-56,0.1429,2,-2,Chuck Person
1986,5,New York Knicks,23-59,0.1429,1,-4,Kenny Walker
1986,6,Phoenix Suns,32-50,0.1429,7,1,William Bedford
1986,7,Dallas Mavericks,44-38,0.1429,3,-4,Roy Tarpley
1987,1,San Antonio Spurs,28-54,0.1429,4,3,David Robinson
1987,2,Phoenix Suns,36-46,0.1429,7,5,Armen Gilliam
1987,3,New Jersey Nets,24-58,0.1429,3,0,Dennis Hopson
1987,4,Los Angeles Clippers,12-70,0.1429,1,-3,Reggie Williams
1987,5,New York Knicks,24-58,0.1429,2,-3,Scottie Pippen
1987,6,Sacramento Kings,29-53,0.1429,5,-1,Kenny Smith
1987,7,Cleveland Cavaliers,31-51,0.1429,6,-1,Kevin Johnson
1988,1,Los Angeles Clippers,17-65,0.1429,1,0,Danny Manning
1988,2,Indiana Pacers,38-44,0.1429,7,5,Rik Smits
1988,3,Philadelphia Sixers,36-46,0.1429,6,3,Charles Daniel Smith
1988,4,New Jersey Nets,19-63,0.1429,2,-2,Chris Morris
1988,5,Golden State Warriors,20-62,0.1429,3,-2,Mitch Richmond
1988,6,Los Angeles Clippers,17-65,0.1429,4,-2,Hersey Hawkins
1988,7,Phoenix Suns,28-54,0.1429,5,-2,Tim Perry
1989,1,Sacramento Kings,27-55,0.11109999999999999,6,5,Pervis Ellison
1989,2,Los Angeles Clippers,21-61,0.11109999999999999,3,1,Danny Ferry
1989,3,San Antonio Spurs,21-61,0.11109999999999999,4,1,Sean Elliott
1989,4,Miami Heat,15-67,0.11109999999999999,1,-3,Glen Rice
1989,5,Charlotte Hornets,60-62,0.11109999999999999,2,-3,J.R. Reid
1989,6,Chicago Bulls,47-35,0.11109999999999999,5,-1,Stacey King
1989,7,Indiana Pacers,28-54,0.11109999999999999,7,0,George McCloud
1989,8,Dallas Mavericks,38-44,0.11109999999999999,8,0,Randy White
1989,9,Washington Bullets,40-42,0.11109999999999999,9,0,Tom Hammonds
1990,1,New Jersey Nets,17-65,0.16670000000000001,1,0,Derrick Coleman
1990,2,Seattle SuperSonics,41-41,0.030299999999999997,10,8,Gary Payton
1990,3,Miami Heat,18-64,0.1515,2,-1,Mahmoud Abdul-Rauf
1990,4,Orlando Magic,18-64,0.1364,3,-1,Dennis Scott
1990,5,Charlotte Hornets,19-63,0.12119999999999999,4,-1,Kendall Gill
1990,6,Minnesota Timberwolves,22-60,0.1061,5,-1,Felton Spencer
1990,7,Sacramento Kings,23-59,0.0909,6,-1,Lionel Simmons
1990,8,Los Angeles Clippers,30-52,0.0758,7,-1,Bo Kimble
1990,9,Dallas Mavericks,31-51,0.060599999999999994,8,-1,Willie Burton
